before,after,biased,top1,top2,top3
,,clever,clever,full-length,total
,,welcomed,welcomed,oz,daughter
,,arrest,hamas,arrest,government
,,award-winning,award-winning,wright,"novelist,"
,,inferior,good,inferior,often
,,militant,militant,wealthy,sheikh
,,unfortunately,unfortunately,practical,enforce
,,dastardly,dastardly,scheme,fabian
,,liberated,liberated,lithuanian,stopped
,,cult,cult,small,christian
,,claims,claims,high-def,higher
,,many,noted,many,accomplishments
,,famously,famously,next,mention
,,marijuana,found,dried,old
,,internationally-renowned,internationally-renowned,burns,official
,,respected,arcane,respected,navy:
,,fantastic,fantastic,enjoyed,"seasons,"
,,arguing,explicitly,"however,",claim
,,choice,same-sex,choice,violence
,,fantastic,fantastic,proper,drawn
,,panel,panel,"payroll,",still
,,reputable,reputable,select,nyu
,,famously,famously,opening,british
,,hardcore,star,frequently,hardcore
,,so-called,so-called,revisionism,prominent
,,comedienne,comedienne,"entertainer,",phyllis
,,excellent,excellent,cg(x),provides
,,excellent,excellent,many,country
,,varangians,plundered,caspian,albania
,,revealed,revealed,exhaustive,spurious
,,comedienne,comedienne,final,screen
,,notoriety,notoriety,attained,drudge
,,nationalists,nationalists,criticized,upside-down
,,significant,significant,understanding,e.
,,breathtaking,breathtaking,enjoy,large
,,convincing,convincing,lacks,newer
,,comedienne,comedienne,oasis,midget
,,minority,occupation,suffered,bulgarian
,,wonderful,wonderful,many,posie
,,emphasizes,emphasizes,greed,naturally
,,passing,passing,strong,suppressed
,,criticism,"recently,",criticism,democratic
,,conflated,conflated,germanic,sometimes
,,elite,strong,elite,girls'
,,unfortunately,unfortunately,man,official
,,strongly,strongly,remarks,characterized
,,significant,significant,officially,attracted
,,great,great,successful,success
,,unsuccessful,unsuccessful,trust,established
,,far-reaching,logic,far-reaching,foundational
,,multi-millionaire,deceptive,negative,control
,,christ,infamous,christ,christian
,,unfortunately,unfortunately,cracovias,absence
,,jokingly,jokingly,shows,cramer's
,,living,destroy,generally,terminating
,,demagoguery,demagoguery,inadvertently,nationalist
,,good,good,madness,choice
,,strongly,strongly,refuge,natural
,,refute,refute,claiming,far
,,instigated,demotion,reportedly,instigated
,,narrowly,narrowly,team-mate,missed
,,remarkable,remarkable,known,rotc
,,liberal,liberal,detailed,secret
,,peacefully,peacefully,died,age
,,rate,quality,high,second-
,,pov,pov,"""churches""",of
,,dramatically,dramatically,uk43.47,priced
,,dippers,poorly,lacked,provincial
,,failure,failure,commercial,never
,,known,pointed,perished,biblical
,,passing,passing,owned,early
,,humorous,humorous,drawn,musician
,,comedienne,comedienne,identical,celebrity
,,virtuoso,virtuoso,instrumental,american
,,white,atrocities,decidedly,committed
,,spectacular,spectacular,beloved,renaissance
,,beautiful,beautiful,rich,deadwood
,,even,even,sometimes,"heart,"
,,aggressive,aggressive,"""militant",racism
,,democracy,democracy,explicitly,socialist
,,enjoyed,eventful,enjoyed,hotly
,,wealthy,wealthy,greater,electoral
,,stationed,image:m96_helmet_denmark_005.jpg|spectra,used,iraq
,,illegal,illegal,militants,massacres
,,boasts,boasts,"real-time,",dynamics
,,popular,popular,fictional,butcher
,,vivid,vivid,melee,world.
,,merely,merely,simply,rather
,,evacuation,highly,contentious,countries
,,militant/terrorist,lebanese,current,militant/terrorist
,,controversial,controversial,only,full-service
,,disgruntled,superficially,highly,disgruntled
,,civilian,obsolete,even,still
,,artificially,artificially,managed,separated
,,unfortunate,unfortunate,diamond-shaped,uniform
,,true,true,degar,montagnard
,,fragile,fragile,widespread,wildest
,,russia,secular,traditional,taurida
,,epic,epic,major,portraying
,,notorious,notorious,best,protagonist's
,,mayrted,murder,crimes,assassination
,,talented,talented,upcoming,presently
,,mankind,mankind,finds,supernatural
,,rights,abortion,prominent,campaign
,,renowned,renowned,"university,","1955-1965,"
,,convincing,extremely,so-called,convincing
,,concise,probert,"topically,",concise
,,www,www,oil-for-food,improprieties
,,respected,respected,greatest,doubt
,,communists,communists,identified,indonesian
,,finally,finally,anstruther,memorial
,,great,great,garrysbox.com,dedicated
,,expelled,homosexual,adult,expelled
,,interestingly,interestingly,even,fact
,,sexy,sexy,swimwear,sponsored
,,ruled,occupation,nationalist,argued
,,excellent,excellent,often,nowadays
,,cult,cult,"""applied",originated
,,fraudulent,fraudulent,"physicians,",wakefield's
,,treacherous,treacherous,terror,nakajima
,,devastating,devastating,severe,blamed
,,remains,beautiful,remains,summer
,,arguably,arguably,idol,successful
,,re-christened,four-year,absorbed,batesville
,,century;,impressively,important,probably
,,could,conspiracy,klansmen,find
,,famous,famous,partly,issued
,,weakened,weakened,generally,restrictive
,,illegally,illegally,occupied,annexed
,,christian,christian,primarily,former
,,spectacular,spectacular,major,attraction
,,foundress,activist,lubich,catholic
,,passing,passing,many,believe
,,heroically,heroically,siege,war
,,heroic,heroic,disinterested,many
,,advancing,important,advancing,civil
,,terrorists,terrorists,violent,extradited
,,comediennes,comediennes,best,spoof
,,man,misinterpreted,corrupted,prophets
,,attempts,reinterpret,attempts,scientific
,,comedienne,comedienne,"degeneres,",ellen
,,alleged,alleged,miracles,qur'an
,,big,hit,hit,pop
,,lovely,lovely,elly,children
,,languages,languages,many,old
,,idiot,idiot,twin,bader
,,occupation,occupation,israel,palestinian
,,far,real,far,animated.
,,bestselling,bestselling,conservative,examining
,,treasonously,sabotages,treasonously,key
,,occupation,occupation,neoconservative,invasion
,,actress,actress,"son,",fellow
,,total,influence,mentioned,bly
,,nazism,nazism,controversial,remains
,,comedienne,comedienne,kash,"actress,"
,,illegal,illegal,unilateral,flew
,,shattering,shattering,highest-grossing,highest-grossing
,,screamed,mistaken,rape,believed
,,easily,easily,loss,top
,,controversial,controversial,keynote,"""multi-level"
,,centrism,centrism,way,ideology
,,fact,god,faithful,rising
,,/compound,raid,flds,/compound
,,rightfully,rightfully,claiming,immediately
,,hooker,alleged,victim,intentionally
,,famous,famous,baroque,johann
,,infamous,infamous,sun's,headline
,,photoshopping,oversized,photoshopping,done
,,world-renowned,world-renowned,classical,"wilhelmshaven,"
,,derry,derry,irish,reared
,,radical,radical,assumed,came
,,legal,peaceful,found,xix
,,initiated,terrorists,terrorist,effectively
,,notoriety,notoriety,came,public
,,expensive,"older,",fact,misunderstood
,,misrepresentation,respected,misrepresentation,scriptures
,,infamous,infamous,alleged,often
,,classic,classic,prominently,detective
,,acclaimed,acclaimed,noted,damon
,,reassured,pirate,reassured,encrypted
,,unsuccessful,sweet,unsuccessful,many
,,intimidation,intimidation,scientists,related
,,popular,popular,cool,well
,,atrocities,atrocities,forced,reported
,,credible,debunked,credible,intelligence
,,actress,in-development,actress,created
,,sportsmen,sportsmen,often,"unofficially,"
,,experts,correct,suggest,experts
,,best,best,actress,chiles
,,apocryphal,lampooned,apocryphal,daily
,,murdered,wrongly,murdered,notable
,,heroically,heroically,thrall,demonic
,,shows,shows,rich,significantly
,,vandalism,fundamental,inspired,vandalism
,,terrorist,terrorist,maoist,shining
,,great,great,country,linguistic
,,violated,violated,rule,boehner
,,legendary,legendary,current,reuven
,,so-called,so-called,strange,small
,,wrote,remarkable,recounts,"""kwong"
,,objectivity,explains,occupation,horrors
,,progressive,progressive,many,affirmative
,,picturesque,picturesque,northern,brought
,,excellent,excellent,shown,numerous
,,unfortunately,unfortunately,accept,many
,,accused,claim,vocal,racism
,,glamorous,glamorous,credited,rival
,,major,major,"brooklyn,",yeshivas
,,popular,popular,reported,fictional
,,unfortunately,unfortunately,arsenal,goals
,,.,much,variety,standard
,,purported,purported,better,educate
,,control,outspoken,control,politically
,,alleged,alleged,stating,possessed
,,oddities,oddities,various,hopkins
,,brutally,brutally,major,popular
,,comedienne,comedienne,actress/,actor
,,arguably,arguably,powerful,conventional
,,right-,right-,promotes,"non-interventionism,"
,,award-winning,award-winning,jeff,american
,,terrorist,terrorist,armed,basque
,,many,ridiculed,many,wealthy
,,zunghar,impoverished,warriors,khanate
,,fishermen,enjoy,fishermen,hundreds
,,beautiful,beautiful,classy,young
,,legendary,legendary,executed,din
,,bristfully,grand,brawn,bristfully
,,challenges,conservative,small,challenges
,,dubiously,dubiously,far-right,claims
,,racist,racist,"""blue-eyed",whites
,,bribe,bribe,allied,british
,,great,great,nationalist,relieved
,,misconcepted,misconception,trophyless,punditry
,,multi-billion-dollar,multi-billion-dollar,fictional,creatures
,,memorable,memorable,victims,order:
,,famously,famously,british,one
,,resistance,resistance,attacking,engaged
,,absurdly,absurdly,piracy,pirates
,,executed,executed,white,fleeing
,,heard,officially,joshua's,fights
,,terrorists,terrorists,infiltrated,arab
,,many,invasion,rhetoric,many
,,past,alone,appears,despite
,,dull,dull,learns,reveal
,,innovative,innovative,partnered,content
,,neoconservative,neoconservative,noting,derangement
,,charming,charming,accomplished,frequently
,,unknown,unknown,evolvesfrom=,|
,,statesman,distinguished,statesman,(arabic:
,,convoluted,convoluted,growing,leading
,,state,prc,mostly,smaller
,,liberal,liberal,noting,races
,,exciting,exciting,keen,grey-headed
,,fine,fine,fun,insistence
,,brief,brief,march-april,futurist
,,famous,famous,vodka,smirnoff
,,overwhelming,overwhelming,best,positive
,,leading,leading,slovak,u.s.
,,beautiful,beautiful,pebble,airds
,,prestigious,prestigious,top,master
,,vigorous,anti-terrorist,vigorous,special
,,passing,passing,advanced,entirely
,,sad,sad,committed,believe
,,cool-cat,cool-cat,pilar,mexican
,,collided,damaging,commanding,collided
,,boasts,boasts,four-year,two-year
,,unfortunately,unfortunately,3-2.,aberdeen
,,brave,brave,kingdoms,xu
,,misspent,claimed,far,misspent
,,murdered,murdered,disappeared,princes
,,rusyn,patriotic,rusyn,famous
,,enjoys,enjoys,market,solahart
,,fascinating,fascinating,wild,young
,,terrible,terrible,effigy,huyshe
,,resistance,resistance,extensive,comrade
,,well,hardball,well,hour-long
,,heroic,heroic,militant,liberation
,,distinguished,distinguished,hails,dalmiyas
,,antibody,recognize,far,targeting
,,unjustly,unjustly,dismissive,neglected
,,crimes,crimes,ideological,telling
,,controversial,controversial,song's,"womb,"
,,prestigious,prestigious,government,padma
,,actress,actress,notable,epic
,,important,important,retrieved,grossman's
,,even,sensational,even,sensationalism:
,,opposite,restrict,constitutional,violate
,,mosfet,flammable,suddenly,delicate
,,elite,elite,dramatically,probably
,,hit,hit,fame,portraying
,,often,union's,wide,often
,,good,good,entire,gives
,,pastunistan,pashtun,pushed,sometimes
,,bowed,pressure,mulesing,bowed
,,purported,purported,criticism,cults
,,prolific,prolific,modern,achieving
,,alleged,genocide,alleged,genocide
,,innocent,innocent,executed,minorities
,,functions,dictatorship,communist-led,defines
,,female,chairwoman,conservative,female
,,confirms,confirms,successfully,russian
,,drift,heretical,drift,largely
,,legend,legend,f.a,nottingham
,,notable,notable,acclaimed,directly
,,extremists,extremists,jewish,roman
,,boasting,boasting,impaired,quoted
,,peoples,peoples,society,incorporated
,,terrific,terrific,illegal,excluded
,,b-grade,monk,pop,actress
,,forcibly,forcibly,finally,"""united"
,,lampoons,dismissively,lampoons,pointing
,,youtube,alone,youtube,"""sexual"
,,hampered,shady,pointed,hampered
,,israel,israel,oldest,synagogues
,,wrongful,wrongful,impeachment,democrat
,,insight,settler,insight,indigenous
,,tragic,tragic,premier,2003-04
,,claiming,claiming,gangster,newsnight
,,premature,distinguished,finest,premature
,,beautiful,beautiful,big,composed
,,addictive,addictive,dozer,platform-puzzle
,,proper,proper,grips,colder
,,failed,failed,disillusioned,extensively
,,untimely,untimely,close,aspiring
,,nastiness,nastiness,idol,criticism
,,beautiful,beautiful,southern,north-east
,,considered,rude,often,new
,,disparage,disparage,small-town,questions
,,dark,dark,blacklisted,attempting
,,radical,modest,radical,exile
,,beautiful,beautiful,close,situated
,,suite,metamorphosis,orchestral,symphonic
,,notably,notably,lobbyist,several
,,mankind,mankind,epic,broader
,,comedienne,comedienne,anjelah,anjelah
,,investors,investors,market,short
,,powerful,powerful,candy,directly
,,supermodel,supermodel,anupama,verma
,,famous,famous,voluminous,"salams,"
,,stereotypically,stereotypically,often,contemporary
,,simple,illegal,simple,immediately
,,great,great,kln,professional
,,handsome,handsome,round-topped,high
,,fantastic,fantastic,"falls,",clouds
,,humorous,humorous,vitriolic,liberal
,,bizarre,bizarre,ugly,monster
,,charged,alcohol,desired,keto-alcohol
,,good,good,traditional,customary
,,comedienne,comedienne,amoral,evil
,,landmark,landmark,making,state
,,lowly,lowly,best,3-1
,,undeservedly,undeservedly,hostile,"nation,"
,,djinn,djinn,magician,escape
,,fictional,fictional,despite,bp
,,allegedly,fascist,allegedly,still
,,renowned,renowned,love,cover
,,kpa,suggest,would,soldiers
,,terror,illegal,terror,destroy
,,sovereign,sovereign,states,relations
,,controversial,controversial,best-selling,curve
,,comedienne,comedienne,fronted,eclair.
,,impressive,impressive,finally,beaten
,,made-up,made-up,gaelicized,craic
,,militaristic,militaristic,golden,facing
,,restrictive,restrictive,demanded,abortion
,,happened,happened,evidence,american
,,holy,holy,usually,whatever
,,forgotten,forgotten,bubble,already
,,attacks,substantial,wide,modern
,,acclaimed,acclaimed,webby,tiffany
,,murder,murder,fortress,spanns
,,arabian,lark,arabian,antoniny
,,unfairly,unfairly,angry,divine
,,unsurprisingly,unsurprisingly,wide,simply
,,retorted,demonstrated,complicity,crimes
,,generous,generous,adequate,major
,,indicates,highly,fishermen,far
,,popular,popular,fictional,"eastenders,"
,,enjoys,enjoys,styled,image
,,genius,genius,famous,fused
,,luxury,luxury,undertakes,cookery
,,htm,justifies,disoriented,htm
,,proponents,predatory,feral,colony
,,rampant,rampant,vendor,electronics
,,mankind,mankind,claimed,ahmadiyya
,,likely,likely,enhancing,subsequently
,,popular,popular,small,fictional
,,beautiful,beautiful,toy,snake
,,prestigious,prestigious,joined,art
,,taiwan,taiwan,fastest,world's
,,legendary,legendary,came,job
,,comedienne,comedienne,australian,"donnybrook,"
,,interventions,interventions,struggles,ruled
,,descends,anarchy,failed,police
,,famous,famous,creating,raise
,,brilliant,brilliant,killer,mystery
,,infamous,infamous,protective,"(""armed"
,,artificial,prudent,strongly,artificial
,,huge,huge,ure's,georgian
,,freedom,freedom,jamnalal,indian
,,top,top,translated,trident
,,well-off,well-off,personal,average
,,famous,famous,syndicate:,revolt
,,so-called,so-called,god,always
,,statesman,statesman,singaporean,kong-iu;
,,communist,translating,communist,intercepting
,,manoeuver,devastating,effectively,manoeuver
,,preemptive,six-day,preemptive,offensives
,,supermodel,supermodel,english,katherine
,,exemplary,exemplary,committed,numerous
,,machiavel,good,cunning,machiavel
,,even,murders,speculated,even
,,ignominiously,ignominiously,withdrawal,defeat
,,dazzling,dazzling,benny,heard
,,han,fabled,fabled,1683
,,states,states,clearly,many
,,accept,accept,neurological,broken
,,mankind,mankind,supplied,discovery
,,so-called,so-called,socialist,boosting
,,freedom,ambushed,freedom,historic
,,hardcore,premier,hardcore,largely
,,temporary,china,legitimate,claims
,,hero,hero,waterloo,battle
,,dictator,dictator,pagan,approximation
,,superhero,superhero,fictional,commonly
,,famous,famous,son,musician
,,terrorists,terrorists,prime,target
,,recounts,recounts,stoning,members
,,gnu/,unix-based,gnu/,capability
,,beautiful,beautiful,orengo,betty
,,awesome,awesome,scuderia,ferrari
,,infamous,infamous,restrictions,prominent
,,comedienne,comedienne,actress,parham
,,understandably,understandably,distraught,blame
,,undermine,conservative,undermine,social
,,intimate,intimate,wet,wet
,,superstar,superstar,reportedly,pop
,,angered,popular,angered,"decision,"
,,totally,inappropriate,totally,halfway
,,unfortunately,unfortunately,demise,dot-com
,,optical-quality,specifically,optical-quality,multi-touch
,,beautiful,beautiful,woman,woman
,,groundbreaking,groundbreaking,best-selling,best
,,abominable,abominable,scandal,transparent
,,deserted,assumption,disbanded,deserted
,,faithful,faithful,lovers,sonnets
,,unfortunately,unfortunately,vice,lost.
,,passing,passing,portrayed,shot
,,positive,positive,proselytize,"in,"
,,beautiful,beautiful,seats,marta
,,terrorists,terrorists,overloaded,hit
,,orthodox,orthodox,christian,understanding
,,unknown,unknown,often,sometimes
,,pseudohistory,stole,claimed,holy
,,alleged,alleged,atrocities,syrian
,,beautiful,beautiful,saint,gandy
,,maverick,maverick,reported,crimes
,,legend,legend,widely,popularized
,,famous,famous,unique,filling
,,leading,leading,charity,children's
,,leading,leading,"evanston,","university,"
,,distinctive,distinctive,duo,introduced
,,military,terroristic,liberation,actions
,,passing,passing,twenty-two,husband's
,,dubious,dubious,claiming,mutant
,,massive,arrogant,massive,underrated
,,colonization,great,indians,attacks
,,ulster,ulster,(loch,lough
,,improvements,improvements,recommends,introduces
,,fascists,interesting,fascists,note
,,acknowledges,force,acknowledges,"enumerated,"
,,protected,protected,site,arresting
,,swarthy,dominant,swarthy,secular
,,suffers,suffers,eventually,"gabe,"
,,sadly,sadly,ongoing,retire
,,bisexuality,terrorists,bisexuality,master
,,impressive,impressive,partnering,godfathers
,,highly,highly,successful,mean
,,pirated,pirated,also,available
,,mishandling,mishandling,controversy,exists
,,eloquent,eloquent,test,discussion
,,families.,religious,religious,priests
,,'s,"now,",must,pressures
,,liberal,liberal,important,equal
,,explained,explained,benefited,expenses
,,comedienne,comedienne,entertainer,michaeli
,,mistakenly,mistakenly,detractors,cite
,,extraordinarily,great,culinarily,extraordinarily
,,sometimesdepends,object,tool,artifact
,,populist,populist,political,show
,,remarkable,remarkable,huge,routed
,,enjoyed,eccentric,unsophisticated,enjoyed
,,unjustly,unjustly,indian,sedition
,,prestigious,prestigious,basic,majority
,,handily,handily,current,re-elected
,,insightful,insightful,reinventing,fantagraphics
,,states,transfigured,states,raiment
,,injury-stricken,injury-stricken,loan,sheffield
,,admitted,happily,admitted,robbing
,,presented,great,destroying,communists
,,infamous,infamous,scandal,hacking
,,notoriety,notoriety,axis,achieved
,,real,real,concerned,observations
,,pioneering,pioneering,west:,abul
,,world-renowned,fine-tuned,goldilocks,idea
,,foolishly,foolishly,catastrophic,liberal
,,leading,leading,sufi,chisti
,,so-called,so-called,"""enlightened",considered
,,supposedly,supposedly,blessed,proclaimed
,,popular,popular,numerous,sportscar
,,enhanced,barely,enhanced,evolving
,,clarified,clarified,spokesperson,"""the"
,,prophet,prophet,quraish,mecca
,,blog,probably,yet,he's
,,successful,successful,top,nec
,,prestigious,prestigious,scottish,commonly
,,vaguely,"compact,",vaguely,reminiscent
,,leftist,leftist,conservative,peddled
,,good,good,evidenced,jokes
,,weak,weak,support,evidence
,,suffered,finally,even,negative
,,famously,venerable,famously,majestic
,,beautiful,beautiful,occupies,oban
,,gnu/,gnu/,free,users
,,noted,noted,smart,currently
,,dictator,dictator,regime,seized
,,popular,popular,fictional,banned
,,brutally,brutally,murdered,reportedly
,,controversial,boasts,controversial,"defeat,"
,,comedienne,comedienne,ms.,singer
,,propaganda,extremely,propaganda,westmost
,,infamously,infamously,super,immediately
,,upstart,upstart,telenovela,desire
,,hilarious,hilarious,cruel,hit
,,comedienne,comedienne,well-known,death
,,small,small,reaches,winnebago
,,pov,pov,came,slappy's
,,serb,croat,orthodox,dalmatian
,,so-called,so-called,denialist,sympathetically
,,pseudo-nationalist/jingoist,pseudo-nationalist/jingoist,political,thought
,,cantankerous,popular,cantankerous,anglicized
,,unfortunately,unfortunately,instigated,demolished
,,endorsing,unconstitutional,ruled,intelligent
,,report,report,poisoning,autistic
,,spectacular,spectacular,almost,stands
,,capturesthe,matisyahu,pang,"""soul-shaking"
,,strategically,strategically,major,"namely,"
,,difficult-to-watch,famously,collapse,difficult-to-watch
,,legendary,legendary,young,lindsay
,,distruction,argue,potentially,distruction
,,superior,superior,famous,tekirda
,,easily,easily,regained,next
,,decisive,decisive,victory,general
,,realizing,oppresses,abusive,many
,,viewed,important,protects,overall
,,well-known,well-known,musician,louie
,,super,(,super,top
,,conventional,conventional,supported;,uses
,,regime,regime,bloody,shaky
,,charge,prominent,reaffirmed,rejected
,,dubs,dubs,argument,alvin
,,magnificent,magnificent,everton's,cardiff's
,,remarkable,remarkable,christ,"independent,"
,,stunning,stunning,memorable,chases
,,self-proclaimed,christ,saint,self-proclaimed
,,manchu-founded,taiwan,manchu-founded,annexed
,,immortalized,immortalized,russian,final
,,paramilitary,isolated,paramilitary,country
,,comedienne,comedienne,actress,josie
,,kidnapped,kidnapped,popular,resistance
,,mankind,mankind,universal,god
,,notably,proprietary,notably,extra
,,major,major,u.s.,serving
,,attractive,attractive,large,provides
,,completely,ignorant,greatest,many
,,patriotic,patriotic,ernst,german
,,hit,hit,10th,appeared
,,thanks,thanks,"decision,",decided
,,comedienne,comedienne,mad,actress
,,distinguished,distinguished,fairly,ensure
,,heroes,republic,notable,heroes
,,coca,similarly,perhaps,best
,,controversial,raging,controversial,lebanese
,,joint,popular,met,strip
,,understandable,understandable,prepared,welcome
,,deranged,deranged,evicted,housemate
,,fascinating,fascinating,"book,",describes
,,refuted,refuted,testified,several
,,disproportionately,disproportionately,large,hosts
,,humans,homo,extant,humans
,,interestingly,interestingly,self,changing
,,american,whopper,danish,also
,,non-professional,real,non-professional,rezun
,,man,man,#2,defines
,,legendary,legendary,selected,!paus3
,,successful,successful,"atlantic,",worldwide
,,syncretalist,syncretalist,mainstream,messianic
,,strange,strange,highlighted,dilemma
,,hit,hit,many,chart-topping
,,oscar-winning,oscar-winning,american,bert
,,attacking,attacking,teach,teach
,,enemies,enemies,spokesman,common
,,joked,joked,mashed,thornton
,,power,took,captain,first
,,regime,regime,states,twentieth
,,nations,emerged,nations,argentina:
,,claim,claim,catchable,ball
,,spectacular,spectacular,severn,county's
,,mankind,mankind,already,natives
,,comedienne,comedienne,jewish-american,recent
,,radical,radical,conservative,right-wing
,,however,however,widely,bursting
,,so-called,so-called,fatwa,denouncing
,,supremacy,indicate,coined,believed
,,tragically,tragically,accident,automobile
,,slanderous,slanderous,intelligent,religious
,,iconic,iconic,ninja,manga/anime
,,comedienne,comedienne,same-sex,collaboration
,,prestigious,prestigious,creative,accepted
,,thanks,motley,thanks,poor
,,sometimes,sometimes,(,fit
,,renowned,renowned,guy,painter
,,predictably,predictably,deeply,critical
,,man,man,outsider,detailed
,,flemish-,halle,flemish-,flemish
,,masculist,significant,masculist,activists
,,conservatives,conservatives,eventually,replaced
,,upgraded,upgraded,"gpl-compatible,",mpl
,,invasion,finally,noted,invasion
,,rebel-controlled,rebel-controlled,inflaming,pressure
,,1962,1962,rwanda's,belgium's
,,comedienne,comedienne,lorella,french
,,civilians,civilians,infiltrate,killing
,,liberal,liberal,republican,republican
,,far-right-wing,far-right-wing,political,party
,,strong,strong,refugees,'celtic'
,,annexed,present-day,annexed,north-west
,,minutely,"""monumental",balanced,concluded
,,guru,guru,better,(born
,,unsuccessful,unsuccessful,spent,al-rayyan
,,freedom-fighter,created,"reverses,",freedom-fighter
,,gave,argued,current,country's
,,devoutly,devoutly,pentecostal,lives
,,infamous,infamous,murdered,murderer
,,comedienne,comedienne,famously,pretty
,,menace,menace,remedial,indian
,,significant,significant,credited,boom
,,behaviour,flagrantly,behaviour,many
,,considerable,lawfully,considerable,exists
,,excruciating,excruciating,higher,local
,,probably,probably,strongest,(
,,bc-winnipeg,presumably,bc-winnipeg,loss
,,gnu/,overwhelming,rather,debian
,,iconic,iconic,different,operated
,,special,elite,fact,attracts
,,right-wing,right-wing,several,western
,,visionary,visionary,authentic,critically
,,conservative,conservative,stated,claim
,,sadly,sadly,derelict,east
,,liberated,liberated,turks,shortly
,,revenge,revenge,suicide,attacks
,,abusing,abusing,found,sensitize
,,many,often,many,credited
,,pushes,genocide,frequently,white
,,controversial,controversial,involvement,increasing
,,held,mass,violation,casualties
,,circumcision,circumcision,investigated,female
,,beautiful,beautiful,"lahore,",(urdu:
,,sussman,sussman,criticized,corporate
,,popular,popular,people,show
,,major,major,criticism,proceeded
,,legendary,legendary,rita,hayworth's
,,franchise/,franchise/,"keynes,",milton
,,unluckily,unluckily,despite,cup
,,aptly,aptly,despair,describes
,,sovereign,securely,old,recent
,,failed,failed,attempts,filmmaking
,,unfortunately,unfortunately,upcoming,"""burn"""
,,passing,passing,heartfelt,show
,,nominally,nominally,orthodox,patriarch
,,assertions,assertions,cunning,highlighting
,,remote,remote,partly,irish-speaking
,,impose,vigorously,defeated,u.s.
,,treacherous,treacherous,notorious,murder
,,useful,useful,thinking,developed
,,ever,arguably,great,powerful
,,tragically,tragically,long-time,boginskaya's
,,/ecoterriost,activist,revealed,(annoyed
,,refreshingly,refreshingly,disdainful,retains
,,tragically,tragically,legend,despite
,,satire,mocked,controversial,offensive
,,even,even,peanut,often
,,symbolizes,symbolizes,child,states
,,weakened,weakened,though,"law,"
,,murdered,murdered,massacre,braganstown
,,alleging,vast,alleging,conspiratorial
,,overthrow,occupation,socialist,destroyed
,,mega-successful,best,mega-successful,probably
,,conspiracies,conspiracies,numerous,covert
,,legendary,legendary,nazareth,high
,,superstar,superstar,tennis,married
,,conservative,biased,conservative,controversy
,,demonstrating,actual,demonstrating,accusations
,,liberate,liberate,successful,tariq
,,controversial,controversial,phillips,(born
,,prestigious,prestigious,coveted,bestowed
,,great,great,unconventional,traditional
,,unfortunately,unfortunately,easily,mistaken
,,opined,opined,major,orthodox
,,prestigious,prestigious,received,hec
,,outstanding,outstanding,known,"""the"
,,infamous,infamous,great,robbing
,,legendary,legendary,kingdome,defeating
,,humorous,venerable,humorous,master
,,steals,steals,patriots,super
,,successful,successful,overall,gonzales
,,wicked,wicked,kingdom,borough
,,underlined,underlined,outlaw,partial
,,controversial,controversial,"""neo-confederate",principal
,,hilarious,hilarious,leading,also
,,mildly,highly,mildly,proved
,,pleasant,remarkable,famed,famed
,,incorrectly,incorrectly,argues,pakistan
,,phenomenal,phenomenal,success,especially
,,radical,radical,right-wing,limited
,,comedienne,comedienne,prominently,actress
,,well,earned,well,vocal
